# Waypoint Index, Longitude, Latitude
0,-123.3284786254737,48.452373377450435
1,-123.32839472852483,48.45229902875766
2,-123.3283788298412,48.45228841055379
3,-123.32830989883149,48.45229056792119
4,-123.32828492216476,48.452282311121486
5,-123.32823758933041,48.452295573023
6,-123.32811360136245,48.452284192317975
7,-123.32799220853758,48.45227954032319
8,-123.32797489442041,48.45228660864339
9,-123.32795702700658,48.45229566274849
10,-123.32790210406654,48.45228507271152
11,-123.32788714218268,48.45223461960286
12,-123.32789671557106,48.45209923213929
13,-123.327886733668,48.45209377715816
14,-123.3278974624301,48.45197745594237
15,-123.327886733668,48.45209377715816
16,-123.32789671557106,48.45209923213929
17,-123.32809563952436,48.45210312193746
18,-123.32824238717659,48.45209619180566
19,-123.32828492216476,48.452282311121486
20,-123.32824238717659,48.45209619180566
21,-123.32825052060066,48.451972859239596
22,-123.32824238717659,48.45209619180566
23,-123.32809563952436,48.45210312193746
24,-123.32798553983018,48.452249809299985
25,-123.32799220853758,48.45227954032319
26,-123.32798553983018,48.452249809299985
27,-123.32809563952436,48.45210312193746
28,-123.32789671557106,48.45209923213929
29,-123.32788714218268,48.45223461960286
30,-123.32790210406654,48.45228507271152
31,-123.32795702700658,48.45229566274849
32,-123.3279555754973,48.452489190917404
33,-123.32795702700658,48.45229566274849
34,-123.32790210406654,48.45228507271152
35,-123.32769401044146,48.452288612141125
36,-123.32761601201672,48.45223245339933
37,-123.32763198287326,48.45220481510843
38,-123.32762698281434,48.45213835836292
39,-123.32755306069336,48.45208995965557
40,-123.32751142742046,48.45197235388428
41,-123.32755306069336,48.45208995965557
42,-123.32762698281434,48.45213835836292
43,-123.32763198287326,48.45220481510843
44,-123.32761601201672,48.45223245339933
45,-123.32769401044146,48.452288612141125
46,-123.32770280410485,48.45246346932501
47,-123.32769401044146,48.452288612141125
48,-123.32790210406654,48.45228507271152
49,-123.32788714218268,48.45223461960286
50,-123.32763198287326,48.45220481510843
51,-123.32762698281434,48.45213835836292
52,-123.32771312556197,48.452095736561816
53,-123.327886733668,48.45209377715816
54,-123.32771312556197,48.452095736561816
55,-123.32762698281434,48.45213835836292
56,-123.32763198287326,48.45220481510843
57,-123.32761601201672,48.45223245339933
58,-123.32749543786527,48.452264995720746
59,-123.32741844414457,48.452253429979
